company,high,low,change_in_per,gain
Stampede Cap,0.9,0.9,0.1,12.5
Ortin Labs,37.9,35.0,4.15,12.44
Vardhman Acryli,83.6,75.55,7.15,10.26
Arihant Found,53.4,50.9,4.85,9.99
Gokul Agro,52.3,48.5,4.65,9.78
Tatva Chintan,2480.0,2280.0,200.15,9.37
ICICI Bank,827.65,798.4,62.95,8.29
Hindcon Chemica,66.45,64.0,4.75,7.71
Quadpro ITeS,17.0,16.15,1.0,6.25
IG Petro,847.7,800.1,48.0,6.12
KEC Intl,524.45,496.05,27.2,5.53
IRB Infra,345.85,293.85,15.4,5.25
Usha Martin Edu,4.25,3.55,0.2,5.13
Subros,430.0,395.0,19.3,5.02
