company,high,low,change_in_per,gain
Vardhman Acryli,83.6,76.05,7.3,10.47
Tatva Chintan,2480.0,2350.0,222.4,10.42
Arihant Found,53.4,50.9,4.85,9.99
Gokul Agro,52.3,48.5,4.75,9.99
ICICI Bank,821.65,798.4,62.3,8.2
Nitiraj Enginee,54.9,48.05,3.8,7.91
CCCL,0.8,0.8,0.05,6.67
Gokul Refoils,29.75,27.6,1.8,6.55
IRB Infra,345.85,301.25,18.4,6.27
Vimta Labs,302.0,293.0,16.2,5.75
Ambika Cotton,2100.0,1971.35,107.3,5.7
Ortin Labs,36.9,35.0,1.8,5.4
Subros,430.0,396.0,20.5,5.34
IG Petro,847.7,800.1,40.35,5.14
Jainam Ferro,73.0,73.0,3.5,5.04
